cnpj,gtin,city,state,name,description
60409075000152,7891000113998,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE EM PO NINHO 1 + SACHE LV800G PG700G
60409075000152,7891000113998,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE EM PO NINHO 1 + SACHE LV800G PG700G
23643315000152,7891025103233,SAO PAULO,SP,DANONE LTDA,ACTIVIA BANDEJA AMEIXA NATURAL DANONE 400G
7526557000100,7891991001380,SAO PAULO,SP,AMBEV S.A.,SODA ANTARCTICA DIET GARRAFA PET 2 L
8505736000123,7891176113068,SAO PAULO,SP,FLORA PRODUTOS DE HIGIENE E LIMPEZA S.A,CREME TRATAMENTO KOLENE 500G ORIGINAL COM APLICADOR UNIT
21326756000103,7896629640221,ITUIUTABA,MG,LATICINIO CANTO DE MINAS LTDA.,IOGURTE CANTO DE MINAS AMEIXA LIGHT 900G
60498706000157,7896036096062,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO TOM POMAROLA 100% ALHO SACHET
2744273000176,7898125760250,MACHADO,MG,RESERVA DE MINAS INDUSTRIA E COMERCIO LTDA.,DOCE DE ABOBORA C/COCO RESERVA DE MINAS
61724241000178,7898075642385,SANTANA DE PARNAIBA,SP,NACOM GOYA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,AZEITONA VERDE SEM CAROCO 150G CAMPO BELO
70940994000101,7891962036076,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,BISCOITO RECHEADO VISCONTI BRIGADEIRO
54516661003704,7891010916930,SAO JOSE DOS CAMPOS,SP,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,SABONETE LÍQUIDO J&J HIDRATACAO
60409075000152,7891000072974,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE INTEGRAL MEL
60409075000152,7891000072974,SAO PAULO,SP,NESTLE BRASIL LTDA.,IOGURTE INTEGRAL MEL
35402759000185,7896002361033,SAO PAULO,SP,BIMBO DO BRASIL LTDA,PULLMAN LARANJA 250
12819074000214,7898136970341,NAZARE DA MATA,PE,MAURICEA ALIMENTOS DO NORDESTE LTDA,FILE PEITO FRANGO BD MAURICEA 1KG
73410326000160,7898377660957,RIO DE JANEIRO,RJ,CERVEJARIA PETROPOLIS S/A,CERVEJA L NECK BLACK PRINCESS GOLD
57885220000167,7896064205511,RIBEIRAO PIRES,SP,DOCEIRA CAMPOS DO JORDAO LTDA. EM RECUPERACAO JUDICIAL,BISC SEQUINHOS COCO 100G PARATI
