gtin,description
07891150025332,LIMPADOR CIF ULTRA RÁPIDO DESENGORDURANTE GATILHO 500ML
07891035041006,PRÉ LAVAGEM VANISH MULTIUSO
00789603609024,SOJA LIZA GARRAFA PET
07891150050099,SHAMPOO USO DIÁRIO DOVE 400ML RITUAL FORTALECIMENTO UNIT
07896052600069,SCHIN LIMÃO GARRAFA PET 2 L
07891150060883,CR PENT SEDA OLEO BABOSA 300ML
07891048036037,CHÁ DE CARQUEJA COM 15 SACHÊS DR. OETKER 15G
07898903925253,CERA QUENTE DEPI ROLL ALGAS REFIL ROLL-ON
07896263500196,REFRIG.POTY GUARANA LT
07898587764926,CONDICIONADOR USO DIÁRIO ELSÉVE 200ML REPARAÇÃO TOTAL5 EXTRA PROFUNDO UNIT
07891167014008,SALADA GOMES DA COSTA ATUM E BATATA
07506339390292,DES ROLL ON OLD 52G LENHA
07891152300765,BISC.RICHEST.RECH.56G ESCURETO
07896003702415,TORRADA MARILAN MAGIC MULTICEREAIS
07891010877620,CONDICIONADOR INFANTIL JOHNSON JOHNSON 400ML REGULAR UNIT
07896098901298,TIRA MANCHAS TIXAN YPE REFIL 420GR BRANCA
07891330015139,CHOCOLATE BIBS NEUGEBAUER AMENDOIM
07891032015222,EXT OLE LT 12X | EXTRATO DE TOMATE 350GRS
07898403780758,IOG BETANIA MOR SC 450G
07894321722047,TODDY PRISMA 200
07891515925321,IOGURTE BATAVO C/MEL COPO
07896490290693,REFRESCO EM PO FRISCO C/ VIT MORANGO 25G
07896237901226,TREMOCO RAIOLA
07896004005560,BISC CRACKER INTEGRAL KELLOGGS 200G ORIGINAL
07898031310709,PASTA D'AGUA 100G NORMAL UNIP TRIBUTOS 0.00
07896046701093,SPRAY FIXADOR CHARMING 250ML MAQUIAGEM UNIT
07891203059475,PANCO BEBEZINHO CHOCOLATE SUICO
07891025112341,IOG DANONE MORANGO 360G
07891024130926,SOLUÇÃO BUCAL COLGATE PLAX SOFT MINT
07894900660265,SUCO DEL VALLE GOIABA 290ML
07896005802588,CAFÉ GOURMET À VÁCUO TRÊS CORAÇÕES
07894000077505,CALDO KNORR BACON 10X | CALDO KNORR BACON 10X
07896094921047,LEITE CORPORAL HIDRATANTE MONANGE 200ML DOCE TERNURA UNIT
07896036094969,MOLHO DE TOMATE POMAROLA TRADICIONAL LATA CICA 340G
08852008301977,BISCOITO.KOALA CHOCOLATE
07898370100092,COCO RALADO NORDESTE
07896496917747,"BISC ORGANICO INT TRIBOS M.TERRA 16,5G CACAU"
07891991006088,BOHEMIA PILSEN LATA 1 UNIDADE
07891962006697,AMANT LEITE C/ GOTAS CHOCOLATE
07898178360841,ANTIMOFO LEVE BRISA NEUTRO
07891150053687,"SABAO PO OMO ANTIBAC 1,800KG"
07896052604975,REFRIG SCHIN RETRO ITUBAINA
07891098010421,CHÁ DE CAPIM-CIDREIRA 15 SAQUINHOS LEÃO 15G
07898947385563,MONTY 5MG CX 3 COMP MAST
07891024026113,SHAMPOO USO DIÁRIO PALMOLIVE 350ML TURMALINA UNIT
07896005012192,BIS. MARIA PILAR 400G
07898403780574,IOG BETANIA MORANGO 540G
07891035800054,LIMPADOR DESENGORDURANTE VEJA 500ML L500P450ML TRIGGER UNIT
07891150055711,SH CLEAR WOMEN ANTIC DETOX ANTIP 200ML
07896051131205,ITAMBÉ SEMI-DESNATADO LATA
05601008200314,BISCOITO CIRCUS CACAU 300 G
07897721410071,PARAFUSO PETYBON COM OVOS
07896022200695,NINHO 3 GALO SÊMOLA
07897395020378,PETRA AURUM PILSEN GARRAFA 1 UNIDADE
07898955617397,REQUEIJÃO CREMOSO POÇOS DE CALDAS DANONE 220G
07896490290686,REFRESCO EM PO FRISCO C/ VIT MARACUJA 25G
07896499900463,SALGADINHO TIRA TEIMA CEBOLA/SALSA
07899026462564,TINTURA PERMANENTE NUTRISSE MINI KIT 3.16 CASTANHO ESCURO CINZA VERMELHO UNIT
07896051162063,BEBIDA LACTEA CHOCOLATE 200ML ITAMBÉ
07896945401575,
07891080400674,GORDURA VEGETAL HIDROGENADA PRIMOR
07896053800109,LINDOR LINDT LATA
07891150054608,AMACIANTE COMFORT CONC 500ML PURO RELAX
07891962036212,BATATA PALHA EXTRA FINA VISCONTI
07896283000911,COOKIE JASMINE INTIMUS LIMAO
07896451908681,BALA GELAT DOCILE AMORAS
07898221931301,AGUARD.CANINHA D´OURO 475ML
07896072642766,FLOCOS GRAN MIL CORES 500G CROCANTE
07891024134702,CREME DENTAL TRADICIONAL COLGATE 90G MAXIMA PROTEÇÃO ANTICARIES UNIT
07898286200138,ERVA-DOCE MATTE LEÃO 10 SACHÊS G
07622300861261,SUCO EM PÓ SABOR MARACUJÁ 25G TANG
07896010000139,DRURY'S 1 L
07622300119652,FERMENTO EM PÓ QUÍMICO ROYAL 250G
07896018212671,TUBETES CHOCOLATE E AVELA
07891025320623,IOGURTE GREGO DANONE FRUTAS VERMELHAS
07896004760872,50 MG/ML PÃ“ P/ SUS OR CT FR VD AMB X 150 MLÂ + CP MED
07891962042725,PAO DE MEL BAUDUCCO
07898303140089,AGUA MINERAL C/GÁS GOYÁ - PET
07896064205207,BISCOITO SANTA EDWIGES PEPPA 100G LEITE
07891203059833,MACARRONADA INST PANCO FRANGO AO M TOMATE
08004690123133,MACARRÃO CONCHIGLIONI MOL 500GR
07891048038031,CAPIM-CIDREIRA LINTEA 10 SACHÊS G
07891962052564,TORRADA VISCONTI TRADICAO 120G
07896238105111,BEBIDA LACTEA MATILAT MORANGO SACO1L
07896505600035,FARINHA DE MILHO ANCHIETA 500 G
00082184090442,WHISKY JACK DANIEL'S 1LT
07898951721425,CERVEJA VELHAS VIRGENS WHITIE DOG
07506295396406,SHAMPOO PANTENE EXPERT AGE DEFY
07891203057518,MACARRÃO INST PANCO GALINHA CAIPIRA
07898280074100,PRATO PLASTICO REFORCADO INFANTIL MENINA
07896075026075,FRIGIDEIRA ROCHEDO VITALLE FRAN.N24
00000078932708,BOMBOM SERENATA DE AMOR
07894650020081,LUSTRA MÓVEIS BRILHOL
07891010588847,DESODORANTE JOHNSONS ZERO PERFUME
07897517207410,MOLHO MOSTARDA FUGINI
07891000464908,CHOCOLATE NESTLE CHARGE
07891242000100,LIMP UAU LIMPA PISOS CERAMICA 12X
07896024724298,PIRAQUÊ MORANGO
07896629650145,COALHADA DESNATADA LIGHT
07898141551870,IOGURTE AMEIXA SEM LACTOSE 900G NATURAL GURT
07896098900918,SABAO EM PEDRA YPE COM COCO
07891150058309,LIMPA PISO OMO LAVANDA 450ML
08433260101323,AZEITE EXTRA VIRGEM 500 ML GERAL - LOJA
07891048049747,GELA FUNC DR OETKER CRANB MIRTIL MOR BERINJ 12G
07896022202989,PARAFUSO GALO SEMOLADO
07891035051159,ALVEJANTE VANISH WHITE 500ML S CLORO RF 20% OFF
07898192031116,SUCOSU FRESH UVA LIGHT
07891022858433,SAPOLIO RADIUM LIMPA ALUMINIO
07896327510246,CHOCOLATE PO APTI
07896914000716,SOCIAL CLEAN MULTIUSO 50 FOLHAS DUPLAS 2 UNIDADES
07898924154281,FRALDA BABY ROGER HIPER PLUS M 70UNIDADE
07896022205140,BISCOITO AGUA SAL RENATA
07894900550030,DV FRUT UVA PET 1L
07891000061190,NESCAU 2.0 LATA
07891025109587,ACTIVIA LÍQUIDO MORANGO 0% DANONE 180ML
07896025803985,AZEITONA CEPERA 120G VERDE S/CAROCO SACHET
07898215151999,LEITE CONDENSADO ZERO LACTOSE 395G
07891149106608,CERVEJA SKOL BEATS SPIRIT LONG NECK 355G SKOL
07891095300488,FAROFA PRONTA DE MANDIOCA YOKI
07898115751305,ARROZ INT AGULHA T SONIA 500G
07896013102991,PASS ROUP FACIL SONHO REFIL 500ML
07896014140534,TINTURA IMEDIA LOURO ESCURO ACINZENTADO
07891025422174,IOGURTE PAULISTA DESNATADO
07896033211055,LILLO MAMADEIRA MAGIA PP SILICONE AZUL
07896256050202,POLVILHO AZEDO KODILAR
07891098000163,CHÁ DE CAMOMILA LEÃO
07897076020215,LEITE COND CAMPOS JORDAO LT 395G
07896205722198,MACARRÃO BASILAR PARAFUSO
00000080761761,CHOCOLATE KINDER BUENO WHITE T2 -
07891035325601,BOM AR AIR WICK AERO 360ML DOCE LAVANDA ECONO.
07894900061512,REFRIGERANTE SPRITE 2LT
07896238101557,BEBIDA LACTEA MATILAT SALADA DE FRUTAS SACO 1L
07893000081598,SOBRECOXAS FRANGO FÁCIL SADIA
07891098000354,CHA MATE LEAO LARANJA 10X25X | CHA MATE LARANJA 25 SAQUINHOS
07898409952913,MIST.BOLO FLEISCHMAN BROW 450G
07890875124245,SAND IPANEMA AMEIXA37/38
07896183309442,SH ZOOPERS 500ML CAB CACHEADOS
07898126404177,FINALIZADOR BIO EXTATUS QUERAVIT
07892840802707,"PEPSI GARRAFA PET 2,5 L"
07896058202908,BISCOITO CREAM CRACKER AYMORÉ
07896336806484,COLORADO INDICA INDIA PALE ALE GARRAFA 1 UNIDADE
07896213002787,BISCOITO VITARELLA CREAM CRACKER CROCKS
