name,cnpj,city,state
GRUPO RSX COMERCIO DE CAFE LTDA,14534272000186,SAO PAULO,SP
"SEGAFREDO ZANETTI (BRASIL). COMERCIALIZACAO E DISTRIBUICAO DE CAFE, S.A.",65126039000103,CONTAGEM,MG
MAGRELA INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,08610632000189,LAURO DE FREITAS,BA
UTILEO COMERCIO DE UTILIDADES EIRELI,13971479000155,RIO DE JANEIRO,RJ
CARGILL AGRICOLA S A,60498706000157,SAO PAULO,SP
ALIMENTOS TIA SONIA LTDA,08385685000143,VITORIA DA CONQUISTA,BA
YAKULT S/A. INDUSTRIA E COMERCIO,60723061007707,SAO BERNARDO DO CAMPO,SP
"BIOTEC COSMETICOS, INDUSTRIA E COMERCIO LTDA",03956345000101,UBERLANDIA,MG
BRASIL ESPRESSO COMERCIO ATACADISTA LTDA.,01703285000190,SAO PAULO,SP
PRODUTOS ALIMENTICIOS ARAPONGAS SA PRODASA,75404814000352,ARAPONGAS,PR
GOYA INDUSTRIA E COMERCIO DE AGUA MINERAL LTDA,02428437000156,BOM JESUS,GO
INDUSTRIA E COMERCIO DE LATICINIOS VALE DOS BURITIS LTDA,22086045000163,BURITIS,MG
ELMO CALCADOS S/A,17170416005039,VITORIA,ES
WEWISH BEBIDAS SAUDAVEIS S.A.,23313184000145,BARUERI,SP
CERVEJARIA TRIESTE LTDA,21345997000191,POTIRENDABA,SP
REALENGO ALIMENTOS LTDA,07032688000130,TURVO,SC
PHYTONATUS NUTRACEUTICA LTDA,03512483000100,SOROCABA,SP
FRIMESA COOPERATIVA CENTRAL,77595395000228,MEDIANEIRA,PR
SANOFI-AVENTIS FARMACEUTICA LTDA,02685377000157,SAO PAULO,SP
MUNDIAL HORTIFRUTIGRANJEIROS EIRELI,23605130000153,CAROLINA,MA
UNI COMPRA SUPERMERCADOS LTDA,41185455000378,ARAPIRACA,AL
"PORTO A PORTO COMERCIO, IMPORTACAO E EXPORTACAO LTDA",00069957000194,CURITIBA,PR
SANTA IZABEL ALIMENTOS LTDA,03779994000184,SANTA ISABEL DO PARA,PA
INAP - INDUSTRIA ALIMENTICIA POPULAR LTDA,12970570000193,LIMOEIRO DE ANADIA,AL
USINA SAO FRANCISCO S/A,71324792000106,SERTAOZINHO,SP
COMERCIO E INDUSTRIA ORSI LTDA,51423358000168,LENCOIS PAULISTA,SP
VEMATE VERDINHA INDUSTRIA DO MATE LTDA,83947796000111,XANXERE,SC
NEWAGE INDUSTRIA DE BEBIDAS LTDA.,01307936000122,LEME,SP
J. C. DA SILVA - BATATAS,02582448000196,MARIALVA,PR
COMERCIAL E EMPACOTADORA VIEIRA LTDA.,09276452000175,ARAPIRACA,AL
SUPERMERCADO GIACCHERO E PADUA LTDA,09379531000101,SAO SEBASTIAO DO PARAISO,MG
PEPSICO DO BRASIL LTDA,31565104000177,SAO PAULO,SP
ECOSERV PRESTACAO DE SERVICOS DE MAO DE OBRA LTDA.,02286974000109,BARUERI,SP
BIOCILIN INDUSTRIA DE COSMETICOS EIRELI,00095051000144,VESPASIANO,MG
BEER LEGENDS ALUGUEIS E INSTALACOES DE EQUIPAMENTOS DE BEBIDAS LTDA,13498794000107,BALNEARIO CAMBORIU,SC
IRMAOS RUIVO LTDA,92226026000170,PELOTAS,RS
EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,07604556000136,RECIFE,PE
