cnpj_store,gtin,category,cnpj_manufacturer,city,state,name,description
3640467002219,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
76430438007184,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
71322150004408,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
6057223023112,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
17676214000185,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
71322150001301,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
3720882000905,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
3720882000905,7897594100086,DOCES E SOBREMESAS,49175797000157,UBATUBA,SP,PARODI & PARODI LTDA,BANANINHA SEM AÇUCAR TACHÃO DE UBATUBA 200G
41185455001501,7898957617272,MASSAS E MOLHOS,5540409000114,CURITIBA,PR,LATINEX INTERNATIONAL IMPORTACAO E EXPORTACAO LTDA,MOLHO TASTE&CO 300G COGUMELO
76430438007184,7898957617272,MASSAS E MOLHOS,5540409000114,CURITIBA,PR,LATINEX INTERNATIONAL IMPORTACAO E EXPORTACAO LTDA,MOLHO TASTE&CO 300G COGUMELO
3720882000905,7896292305793,MASSAS E MOLHOS,62546387000133,MATAO,SP,PREDILECTA ALIMENTOS LTDA,MOLHO MADEIRA PREDILECTA SACHE 24X
8540603000198,7896292305793,MASSAS E MOLHOS,62546387000133,MATAO,SP,PREDILECTA ALIMENTOS LTDA,MOLHO MADEIRA PREDILECTA SACHE 24X
41185455000378,7896292305793,MASSAS E MOLHOS,62546387000133,MATAO,SP,PREDILECTA ALIMENTOS LTDA,MOLHO MADEIRA PREDILECTA SACHE 24X
71322150003266,7896292305793,MASSAS E MOLHOS,62546387000133,MATAO,SP,PREDILECTA ALIMENTOS LTDA,MOLHO MADEIRA PREDILECTA SACHE 24X
13004510024100,7891035800276,LIMPEZA CASA,59557124000115,SAO PAULO,SP,RECKITT BENCKISER ( BRASIL ) LTDA.,LIMPA VIDROS VEJA VIDREX CRISTAL PULV
75315333008002,7896006716112,ARROZ,64904295000103,SAO PAULO,SP,CAMIL ALIMENTOS S.A.,CAMIL PARBOILIZADO TIPO 1 PACOTE
17676214000185,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
21911839000232,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
3720882000905,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
47508411137100,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
13004510024100,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
63960006212,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
71322150004408,7892840800406,REFRIGERANTES,31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,PEPSI GARRAFA PET 1 L
47508411152681,7891167021020,CONSERVAS E ENLATADOS,2279324000489,SAO PAULO,SP,GDC ALIMENTOS S.A,SARDINHA GOMES DA COSTA COM MOLHO DE TOMATE
71322150003266,7891167021020,CONSERVAS E ENLATADOS,2279324000489,SAO PAULO,SP,GDC ALIMENTOS S.A,SARDINHA GOMES DA COSTA COM MOLHO DE TOMATE
13004510024100,7891167021020,CONSERVAS E ENLATADOS,2279324000489,SAO PAULO,SP,GDC ALIMENTOS S.A,SARDINHA GOMES DA COSTA COM MOLHO DE TOMATE
63960005917,7892840245542,"BOLOS, BISCOITOS E BOLACHAS",31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,EQLIBRI PANETINI PRESUNTO PARMA
47508411135833,7892840245542,"BOLOS, BISCOITOS E BOLACHAS",31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,EQLIBRI PANETINI PRESUNTO PARMA
76430438007184,7892840245542,"BOLOS, BISCOITOS E BOLACHAS",31565104000177,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,EQLIBRI PANETINI PRESUNTO PARMA
13004510024100,7896056402751,LIMPEZA ROUPAS,43623792000163,GUARULHOS,SP,GTEX BRASIL INDUSTRIA E COMERCIO S.A. EM RECUPERACAO JUDICIAL,AMACIANTE URCA BRISA 5LT
75315333009831,7896056402751,LIMPEZA ROUPAS,43623792000163,GUARULHOS,SP,GTEX BRASIL INDUSTRIA E COMERCIO S.A. EM RECUPERACAO JUDICIAL,AMACIANTE URCA BRISA 5LT
41185455000378,7896000705976,CABELO,30153506000100,NOVA IGUACU,RJ,NIELY DO BRASIL INDUSTRIAL LTDA,TINTURA PERMANENTE CORTON 50G 4.0 CASTANHO MÉDIO UNIT
3720882000905,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
47508411137100,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
47508411113945,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
8540603000198,7896224813082,CAFÉS E CHÁS,17467515000107,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CAFE SANTA CLARA
